date,DFF,DFII10,DFII30,DFII5,DGS1,DGS10,DGS1MO,DGS2,DGS20,DGS3,DGS30,DGS3MO,DGS5,DGS6MO,DGS7,DPCREDIT,DPRIME,DTB3,DTB4WK,DTB6,T10Y2Y
2024-10-21,4.83,1.88,2.19,1.75,4.24,4.19,4.92,4.02,4.54,3.95,4.49,4.73,3.98,4.47,4.07,5.0,8.0,4.51,4.7,4.32,0.17
2024-10-22,,,,,,,,,,,,,,,,,,,,,0.17
